LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID109311,109311,5,84.17420959472656,13.873342619510781,8.92625920480151,0.0,19.995779037475586,4,0.65,1,,715.9922480620155,375.0,138.0,3785.0,92363.0,791.0928802940512,0.6466131384255279,0.7108267916789276
ID109441,109441,6,22.674406051635742,9.571530954546198,5.699900456078073,0.0,89.98100566864014,18,0.65,1,,310.74418604651163,227.0,153.0,1079.0,40086.0,202.77347579371693,0.3338729947051149,0.7671648118635934
ID109376,109376,6,22.911535263061523,9.786621537794426,5.484809872829843,0.0,54.98839235305786,11,0.65,1,,322.07751937984494,243.0,156.0,1062.0,41548.0,200.93611439658739,0.331241575376657,0.797664708112528
ID109504,109504,6,11.037646293640137,9.35644037129797,5.699900456078073,0.0,134.9715085029602,27,0.65,1,,236.57364341085272,224.0,147.0,396.0,30518.0,60.52501745066333,0.2315855323393263,1.4699693408452268
ID109570,109570,6,19.847274780273438,9.571530954546198,5.377264581205729,0.0,174.96306657791138,35,0.65,1,,298.2248062015504,239.0,142.0,923.0,38471.0,165.7462876804333,0.3192797154497164,0.8708921849603681
ID109319,109319,6,16.56016731262207,9.786621537794426,5.484809872829843,0.0,24.994723796844482,5,0.65,1,,295.06201550387595,256.0,170.0,618.0,38063.0,103.65701796806142,0.28479989873631356,1.2619696964867488
ID109511,109511,6,21.41050148010254,9.571530954546198,5.484809872829843,0.0,139.9704532623291,28,0.65,1,,308.47286821705427,234.0,156.0,980.0,39793.0,179.16992098630928,0.3327350552548404,0.8596795624677073
ID109254,109254,6,22.212697982788086,9.679076246170313,5.592355164453958,0.0,0.0,0,0.65,1,,322.1162790697674,243.0,178.0,984.0,41553.0,185.55375854734527,0.3248511602485836,0.8513149211406613
ID109385,109385,6,22.05699348449707,9.786621537794426,5.377264581205729,0.0,69.98522663116455,14,0.65,1,,313.73643410852713,234.0,145.0,1081.0,40472.0,199.57503755557727,0.32277378197127515,0.7671872994932493
ID109450,109450,6,21.056297302246094,9.463985662922083,5.484809872829843,0.0,94.97995042800903,19,0.65,1,,297.07751937984494,220.0,146.0,968.0,38323.0,180.3447052003425,0.3268206442232634,0.8115095776583952
ID109263,109263,6,23.08181381225586,9.894166829418541,5.592355164453958,0.0,9.997889518737793,2,0.65,1,,335.72093023255815,257.0,174.0,1023.0,43308.0,191.87772704675209,0.33201455466373164,0.8722319690528124
ID109518,109518,6,20.5655460357666,9.571530954546198,5.377264581205729,0.0,144.969398021698,29,0.65,1,,304.50387596899225,244.0,148.0,902.0,39281.0,167.16824066785085,0.3282499535056723,0.9003138118084925
ID109328,109328,6,21.454694747924805,9.786621537794426,5.592355164453958,0.0,39.99155807495117,8,0.65,1,,314.6511627906977,250.0,155.0,911.0,40590.0,167.7740133316796,0.3321504286109319,0.9352251807283094
ID109459,109459,6,12.231796264648438,9.571530954546198,5.592355164453958,0.0,109.97678470611572,22,0.65,1,,246.8294573643411,221.0,156.0,473.0,31841.0,77.07414490595725,0.2334184220781211,1.2121126038402952
ID109394,109394,6,18.348072052001953,9.894166829418541,5.377264581205729,0.0,74.98417139053345,15,0.65,1,,293.8139534883721,232.0,150.0,874.0,37902.0,162.73241876245518,0.2784420952914074,0.7864700053475602
ID109525,109525,6,24.99675178527832,9.463985662922083,5.807445747702188,0.0,149.9683427810669,30,0.65,1,,327.14728682170545,239.0,134.0,1134.0,42202.0,221.59489716510262,0.36531978311587,0.7900459866261826
ID109271,109271,6,21.442583084106445,9.894166829418541,5.592355164453958,0.0,34.992613315582275,7,0.65,1,,321.07751937984494,248.0,173.0,928.0,41419.0,174.06161859754852,0.3230504929216765,0.9008051616982736
ID109338,109338,6,21.396446228027344,9.894166829418541,5.377264581205729,0.0,44.99050283432007,9,0.65,1,,314.031007751938,241.0,145.0,955.0,40510.0,175.45209183993148,0.3210770399446062,0.870011681555368
ID109404,109404,6,14.297152519226074,9.463985662922083,5.484809872829843,0.0,84.98206090927124,17,0.65,1,,258.5968992248062,224.0,149.0,569.0,33359.0,95.96251867427239,0.2633623934921091,1.1235114065435052
ID109468,109468,6,10.853019714355469,9.248895079673854,5.699900456078073,0.0,114.97572946548462,23,0.65,1,,228.3798449612403,216.0,129.0,418.0,29461.0,70.22087850561809,0.2216663908617229,1.1802356670906866
ID109532,109532,6,20.439815521240234,9.679076246170313,5.592355164453958,0.0,154.9672875404358,31,0.65,1,,308.2480620155039,242.0,160.0,911.0,39764.0,165.92623695334058,0.3237896317519738,0.9087810220718525
ID109347,109347,6,20.703346252441406,9.786621537794426,5.377264581205729,0.0,49.989447593688965,10,0.65,1,,311.4573643410853,247.0,142.0,984.0,40178.0,176.93907884106335,0.32018859552438467,0.853836507919514
