LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID28321,28321,42,61.57865524291992,37.10312561031953,17.314791951482448,0.0,109.8425703048706,22,0.65,1,,798.4806201550388,691.0,224.0,1860.0,103004.0,431.8516654473065,0.4359866991001869,1.1227488003357868
ID28004,28004,42,50.70976257324219,37.74839736006422,17.96006370122714,0.0,59.91412925720215,12,0.65,1,,757.8682170542636,660.0,227.0,2049.0,97765.0,432.9873767618145,0.3246843618506628,0.8580200117009603
ID27813,27813,42,32.84428405761719,38.50121440143302,18.282699576099482,0.0,39.942752838134766,8,0.65,1,,544.5581395348837,475.0,236.0,1142.0,70248.0,237.8888890774675,0.2620357894374717,0.9505807879339458
ID28392,28392,42,38.98073196411133,36.78048973544718,17.314791951482448,0.0,119.8282585144043,24,0.65,1,,609.937984496124,525.0,222.0,1443.0,78682.0,325.17965591966396,0.24643673297878121,0.7416986903425504
ID28459,28459,42,30.53183937072754,36.99558031869542,17.529882534730678,0.0,139.79963493347168,28,0.65,1,,532.046511627907,468.0,197.0,1067.0,68634.0,241.17307259469789,0.27623486348184384,0.9549896501534852
ID28524,28524,42,41.997169494628906,36.99558031869542,17.422337243106565,0.0,134.80679082870483,27,0.65,1,,580.6124031007752,498.0,195.0,1235.0,74899.0,301.1452699196208,0.3566795188681481,1.0137740308725132
ID28077,28077,42,67.95015716552734,37.963487943312444,18.06760899285125,0.0,74.89266157150269,15,0.65,1,,890.8604651162791,770.0,239.0,2368.0,114921.0,472.8973485365582,0.5126620604479564,1.27691523051905
ID28593,28593,42,34.514259338378906,36.888035027071304,17.422337243106565,0.0,149.78532314300537,30,0.65,1,,558.3643410852713,490.0,198.0,1318.0,72029.0,289.57554978106793,0.29226742944895284,0.8721954216638709
ID28660,28660,42,41.92869567871094,36.78048973544718,17.422337243106565,0.0,159.77101135253906,32,0.65,1,,577.2635658914729,415.0,220.0,1570.0,74467.0,357.1559646923316,0.3287767648607458,0.7998256512606944
ID27895,27895,42,49.09939956665039,37.85594265168833,18.06760899285125,0.0,54.9212851524353,11,0.65,1,,765.3488372093024,744.0,231.0,1736.0,98730.0,360.3154358328527,0.43552481216405353,1.2888689268911224
ID28152,28152,42,62.61772918701172,37.85594265168833,18.175154284475365,0.0,84.87834978103638,17,0.65,1,,880.6279069767442,765.0,286.0,2157.0,113601.0,438.58442512829413,0.37388837695859173,1.0928479695235414
ID28221,28221,42,58.81995391845703,37.210670901943644,17.529882534730678,0.0,104.84972620010376,21,0.65,1,,849.2635658914729,836.0,240.0,1621.0,109555.0,373.9019866426362,0.4387841203495525,1.3853834078173815
ID28799,28799,42,44.86194610595703,36.78048973544718,17.314791951482448,0.0,164.7638554573059,33,0.65,1,,584.1937984496124,425.0,198.0,1655.0,75361.0,379.09085482406505,0.36198141687473967,0.8191411132212795
ID27971,27971,43,41.07765197753906,35.92012740245427,18.92797132584417,0.0,64.906973361969,13,0.65,1,,697.1550387596899,609.0,241.0,1579.0,89933.0,337.082483637453,0.2323182554399789,0.7798007288387574
ID28260,28260,43,54.2258415222168,36.135217985702496,19.250607200716512,0.0,94.86403799057007,19,0.65,1,,874.1937984496124,834.0,275.0,1821.0,112771.0,344.5928094668261,0.3554318083180345,1.3304854330901723
ID28006,28006,43,33.322044372558594,36.02767269407838,19.035516617468282,0.0,59.91412925720215,12,0.65,1,,661.077519379845,608.0,249.0,1410.0,85279.0,277.7607618415504,0.20660306803972847,0.8150492103047842
ID27815,27815,43,29.952028274536133,36.24276327732662,19.035516617468282,0.0,39.942752838134766,8,0.65,1,,655.8914728682171,625.0,242.0,1371.0,84610.0,268.11623646255543,0.180575217103537,0.748347564063718
ID28295,28295,43,39.58235168457031,36.02767269407838,19.1430619090924,0.0,99.85688209533691,20,0.65,1,,778.922480620155,802.0,236.0,1506.0,100481.0,294.732893174139,0.2672041071240832,1.1145310808175517
ID28044,28044,43,42.38497543334961,36.02767269407838,19.1430619090924,0.0,69.89981746673584,14,0.65,1,,740.6511627906976,677.0,279.0,1500.0,95544.0,292.49496927198356,0.2583534317782777,1.039769085182743
ID27855,27855,43,47.169403076171875,36.24276327732662,18.92797132584417,0.0,44.93559694290161,9,0.65,1,,783.2248062015503,687.0,270.0,1792.0,101036.0,379.34452596530895,0.27134663590677466,0.8813391687398392
ID28080,28080,43,47.49468231201172,36.02767269407838,19.250607200716512,0.0,74.89266157150269,15,0.65,1,,863.0077519379845,808.0,332.0,1697.0,111328.0,325.1722499336897,0.28926648706787356,1.19093112040451
ID28118,28118,43,43.71318435668945,36.135217985702496,19.358152492340626,0.0,79.88550567626953,16,0.65,1,,811.968992248062,780.0,333.0,1503.0,104744.0,297.33035966918635,0.2819898862306331,1.201376458068908
ID27896,27896,43,34.60323715209961,36.02767269407838,18.92797132584417,0.0,54.9212851524353,11,0.65,1,,666.2713178294574,635.0,222.0,1289.0,85949.0,273.25022163583145,0.222310347070213,0.8869492669978628
ID28154,28154,43,43.330013275146484,36.135217985702496,19.465697783964742,0.0,84.87834978103638,17,0.65,1,,878.8372093023256,824.0,406.0,1672.0,113370.0,287.960386563241,0.30337072055494874,1.4207294618878354
ID27931,27931,43,34.168277740478516,36.02767269407838,18.92797132584417,0.0,49.92844104766846,10,0.65,1,,699.6201550387597,662.0,252.0,1386.0,90251.0,275.00585771597804,0.20392252159335145,0.8618208910350122
ID28190,28190,43,46.69021224975586,36.135217985702496,19.1430619090924,0.0,89.87119388580322,18,0.65,1,,795.1240310077519,741.0,244.0,1778.0,102571.0,362.4237205897595,0.2475535972393482,0.8706794399607459
ID27904,27904,44,70.37809753417969,43.01811664964583,22.26187536619172,0.0,54.9212851524353,11,0.65,1,,829.2093023255813,586.0,241.0,2466.0,106968.0,577.7555126632637,0.44075801269591086,0.8781308520705577
ID28608,28608,44,38.13600540161133,42.695480774773486,22.47696594943995,0.0,149.78532314300537,30,0.65,1,,612.3565891472869,487.0,228.0,1643.0,78994.0,360.06390054513275,0.2483451571717169,0.6766682881037671
ID28674,28674,44,44.64457702636719,42.91057135802172,22.47696594943995,0.0,159.77101135253906,32,0.65,1,,632.1937984496124,511.0,256.0,1596.0,81553.0,338.6242865791529,0.3310726806718147,0.92871764993026
ID28163,28163,44,44.755550384521484,43.12566194126995,22.47696594943995,0.0,84.87834978103638,17,0.65,1,,624.8372093023256,512.0,256.0,1379.0,80604.0,321.68894600164793,0.368908573666706,1.046899631695254
ID27716,27716,44,30.085004806518555,43.01811664964583,21.939239491319377,0.0,34.94990873336792,7,0.65,1,,645.3565891472869,534.0,241.0,1627.0,83251.0,347.1286189595654,0.11494075866458262,0.3833200984123663
ID28742,28742,44,46.90135192871094,43.12566194126995,22.369420657815837,0.0,179.74238777160645,36,0.65,1,,653.4651162790698,518.0,233.0,1770.0,84297.0,379.55148379599865,0.296284551799641,0.7870283442603869
ID28232,28232,44,34.908363342285156,42.80302606639761,22.26187536619172,0.0,104.84972620010376,21,0.65,1,,585.8372093023256,503.0,215.0,1270.0,75573.0,294.30083435942066,0.29361181399735115,0.9036182793585481
ID27979,27979,44,81.54389953613281,43.12566194126995,22.154330074567607,0.0,64.906973361969,13,0.65,1,,907.2635658914729,768.0,248.0,2524.0,117037.0,580.9682854858002,0.49712112516943907,1.0370897009672786
ID28814,28814,44,43.94862747192383,42.91057135802172,22.584511241064064,0.0,164.7638554573059,33,0.65,1,,643.3023255813954,494.0,256.0,1568.0,82986.0,346.00665195581774,0.3133477847849121,0.8871714386508787
